,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag
20,SA120.3,7,P5-P8,S1BF,Pyramidal,Pyr,4,-58.28863881653101,671.9915232560664,0.03451029498922856,33.29906542056072,-31.8603515625,57.525634765625,0.0030000000000001137,3.997802734375,16.0,1.1981792717086834,4.6456298828125
21,SA121.1,7,P5-P8,S1BF,Pyramidal,Pyr,4,-58.348177133124835,828.5906492612153,0.05497507606860082,15.0,-31.005859375,69.091796875,0.0028000000000001357,7.080078125,12.0,2.2454282964388836,6.658905029296875
22,SA122.1,8,P5-P8,S1BF,SSTCre,FS,4,-71.60286007882509,220.73626201475332,0.042826224702208295,141.0,-32.440185546875,64.94140625,0.0015500000000001624,19.378662109375,34.0,1.3803191489361701,10.98638916015625
23,SA122.2,8,P5-P8,S1BF,SSTCre,SST,4,-56.80186092902664,531.9030979355997,0.02374878600902034,12.30769230769229,-43.15185546875,69.091796875,0.0021999999999999797,7.9345703125,50.0,1.3368298368298368,0.808135986328125
24,SA122.3,8,P5-P8,S1BF,SSTCre,SST,4,-56.367745665982795,845.2307770406485,0.05273729473482778,14.33333333333334,-29.022216796875,44.12841796875,0.003049999999999997,8.392333984375,34.0,1.459051724137931,4.626861572265625
25,SA122.4,8,P5-P8,S1BF,Pyramidal,Pyr,4,-61.26363279009315,810.4989779835854,0.02950518534759416,14.99999999999999,-32.04345703125,60.760498046875,0.0024999999999999467,9.918212890625,24.0,1.6210743801652892,4.79083251953125
26,SA123.1,8,P5-P8,S1BF,SSTCre,SST,4,-58.336916097005194,514.8606548887319,0.06389009263925072,29.999999999999982,-40.34423828125,71.83837890625,0.0019000000000000128,15.31982421875,42.0,1.1704545454545454,3.635009765625
27,SA123.2,8,P5-P8,S1BF,Pyramidal,Pyr,4,-58.92546172943499,938.9906759721554,0.03488732876707677,5.454545454545448,-34.515380859375,66.162109375,0.0028000000000001357,4.45556640625,26.0,1.5528781793842035,7.75164794921875
28,SA129.1,6,P5-P8,V1,SSTCre,SST,5,-63.64443351308679,1128.3536193882742,0.06552475438862262,10.0,-39.215087890625,60.97412109375,0.0037000000000000366,9.246826171875,36.0,1.0445956160241874,0.839599609375
29,SA129.2,6,P5-P8,V1,SSTCre,SST,4,-53.633205159505245,1204.622728752366,0.06577114947111651,10.0,-36.9873046875,47.18017578125,0.005349999999999966,3.326416015625,16.0,1.152991452991453,2.403228759765625
30,SA129.3,6,P5-P8,V1,Pyramidal,Pyr,4,-61.25760192871095,1600.4522705078118,0.10527202721576649,6.666666666666651,-24.96337890625,54.229736328125,0.0047999999999999154,-3.173828125,6.0,0.7808348209455804,0.424560546875
31,SA130.1,6,P5-P8,S1BF,LHX6,PV,23,-63.82761840820314,299.68627929687403,0.331910931208232,44.33333333333326,-37.933349609375,44.677734375,0.003250000000000197,8.544921875,6.0,0.006702817531305904,2.365203857421875
32,SA130.2,6,P5-P8,S1BF,LHX6,SST,4,-60.029455566406256,449.9774169921873,-0.38135853549399773,23.789473684210485,-31.6162109375,48.370361328125,0.006399999999999961,-11.71875,8.0,195.50501672240802,11.887451171875
33,SA130.3,6,P5-P8,S1BF,LHX6,PV,4,-67.80529479980471,1207.0822143554674,0.05820727167970696,24.9162303664921,-31.707763671875,50.6591796875,0.0021500000000000963,21.484375,48.0,1.1647331786542923,10.46478271484375
34,SA130.4,6,P5-P8,S1BF,LHX6,PV,4,-69.95330810546876,1188.3306884765611,0.06296059317278715,20.188235294117597,-29.4189453125,51.849365234375,0.0020000000000000018,20.6298828125,52.0,1.1967592592592593,8.371795654296875
35,SA130.5,6,P5-P8,S1BF,LHX6,PV,5,-74.6430908203125,1525.7922363281248,0.06456223959007266,14.241900647948153,-34.11865234375,58.990478515625,0.0020000000000000018,17.51708984375,54.0,1.2203389830508475,0.451690673828125
36,SA131.1,12,P9-P13,V1,LHX6,SST,4,-67.62964680989585,860.0349934895833,0.050517201738072594,5.000000000000001,-44.219970703125,72.81494140625,0.002650000000000041,13.824462890625,36.0,1.0623209169054442,1.091827392578125
