,MouseID,MouseAge,MouseDevelopment,BrainArea,CellID,CellTarget,CellType,CellLayer,Rin,RMP,Tau,Rheobase,MaxFiringFrequency,AdaptationIndex,VoltageSag,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP
119,OLL26,18,P14-P18,V1,OLL26.2,Pyramidal,Pyr,4.0,292.0982566029624,-77.92742775318783,0.1254513477977258,9.491262135922327,36.0,1.0483764082173626,1.28173828125,-38.421630859375,71.014404296875,0.0019000000000000128,26.336669921875
120,OLL26,18,P14-P18,V1,OLL26.3,Pyramidal,Pyr,23.0,212.59472742391918,-85.20416645609747,0.14635610222061368,36.00000000000002,16.0,1.7240232751454696,1.068115234375,-45.867919921875,82.70263671875,0.0020500000000001073,15.2587890625
121,OLL27,16,P14-P18,V1,OLL27.1,Pyramidal,Pyr,5.0,217.11666345607557,-58.5283774695334,,21.000000000000004,30.0,1.2511893434823977,9.735107421875,-32.5927734375,83.404541015625,0.0015999999999998238,19.317626953125
122,OLL27,16,P14-P18,V1,OLL27.5,Pyramidal,Pyr,23.0,276.22892911511315,-69.45917642401224,0.05226148974672491,15.000000000000014,18.0,1.6499595796281326,1.52587890625,-31.92138671875,77.20947265625,0.0016500000000001513,20.44677734375
123,OLL27,16,P14-P18,V1,OLL27.6,Pyramidal,Pyr,4.0,404.32988072883586,-75.45779622913301,0.06530135116845429,6.381981981981972,14.0,1.5526866713189114,0.42724609375,-40.557861328125,61.187744140625,0.0019000000000000128,19.95849609375
124,OLL28,7,P5-P8,V1,OLL28.1,Pyramidal,Pyr,6.0,1552.1240234374977,-57.98645019531253,0.12195882993187673,10.0,18.0,1.3291966035271066,0.18310546875,-31.43310546875,56.2744140625,0.003949999999999898,19.805908203125
125,OLL28,7,P5-P8,V1,OLL28.2,Pyramidal,Pyr,6.0,1577.1484375000034,-59.558105468749964,0.10116615067815093,32.999999999999986,24.0,0.4053305642090689,3.814697265625,-35.614013671875,57.2509765625,0.0018500000000001293,9.1552734375
126,OLL28,7,P5-P8,V1,OLL28.3,Pyramidal,Pyr,5.0,388.04355536306156,-64.6604791592855,0.08620319615346597,6.167741935483886,20.0,1.311631061376738,5.279541015625,-35.247802734375,71.59423828125,0.004899999999999904,22.88818359375
127,OLL28,7,P5-P8,V1,OLL28.4,Pyramidal,Pyr,4.0,939.6362304687501,-61.81742350260415,0.10236279829296231,9.487012987012974,22.0,1.2034428794992176,0.9765625,-33.63037109375,55.72509765625,0.0025999999999999357,15.838623046875
128,OLL28,7,P5-P8,V1,OLL28.5,Pyramidal,Pyr,6.0,882.6053503787874,-55.836995442708336,0.07503155242920448,5.812121212121204,24.0,1.2750434279096698,8.392333984375,-29.35791015625,54.38232421875,0.002950000000000008,15.045166015625
129,OLL28,7,P5-P8,V1,OLL28.6,Pyramidal,Pyr,6.0,753.4697561553029,-59.03116861979168,0.044928329960076126,35.99999999999998,30.0,0.8791308284291535,4.364013671875,-33.416748046875,60.089111328125,0.0018000000000000238,14.312744140625
130,OLL28,7,P5-P8,V1,OLL28.7,Pyramidal,Pyr,4.0,843.2208408634098,-66.88636271452263,0.08203023362832233,10.0,28.0,1.197337509788567,1.556396484375,-35.7666015625,62.225341796875,0.0025500000000000522,18.6767578125
131,OLL28,7,P5-P8,V1,OLL28.8,Pyramidal,SPN,6.0,656.4331054687485,-60.98937988281253,0.08817226447239665,7.0,26.0,1.0203086921202276,2.471923828125,-36.163330078125,63.90380859375,0.0021999999999999797,14.5263671875
132,OLL29,11,P9-P13,V1,OLL29.1,Pyramidal,Pyr,5.0,311.46794681139374,-68.03381582318362,0.0682681574841939,10.0,32.0,1.272642390289449,7.080078125,-43.64013671875,76.11083984375,0.00275000000000003,14.984130859375
133,OLL29,11,P9-P13,V1,OLL29.2,Pyramidal,Pyr,4.0,688.7142934769299,-72.42592599324675,0.08783604486975798,10.0,32.0,1.5497737556561086,0.518798828125,-36.92626953125,66.71142578125,0.0026000000000001577,17.4560546875
134,OLL29,11,P9-P13,V1,OLL29.3,Pyramidal,FS,6.0,396.72851562499955,-62.15820312500001,0.06962385979959246,29.57142857142853,60.0,1.0804195804195804,2.655029296875,-37.17041015625,49.1943359375,0.0015000000000000568,21.05712890625
135,OLL29,11,P9-P13,V1,OLL29.4,Pyramidal,Pyr,6.0,718.3828507818502,-67.00723048451307,0.08382502374634752,9.491262135922327,38.0,1.3218181818181818,7.049560546875,-28.1982421875,65.3076171875,0.0018000000000000238,23.98681640625
136,OLL29,11,P9-P13,V1,OLL29.5,Pyramidal,Pyr,6.0,612.4369303385427,-64.65674506293401,0.07209593048832504,20.10460251046026,22.0,1.1174683544303798,0.213623046875,-27.83203125,57.525634765625,0.003949999999999898,18.73779296875
137,OLL29,11,P9-P13,V1,OLL29.6,Pyramidal,Pyr,6.0,522.5390717706765,-59.48023637905126,0.04598178960944774,15.428571428571427,30.0,1.1732283464566928,1.28173828125,-41.56494140625,64.910888671875,0.0015499999999999403,17.669677734375
138,OLL29,11,P9-P13,V1,OLL29.7,Pyramidal,Pyr,6.0,609.4928271495919,-65.37700877682369,0.08469040535668788,23.352941176470562,32.0,0.6664413653261236,5.645751953125,-31.402587890625,50.537109375,0.0015999999999998238,16.357421875
139,OLL29,11,P9-P13,V1,OLL29.8,Pyramidal,Pyr,4.0,397.9888458779532,-65.01231887823248,0.11304004947452623,16.0,30.0,1.4098185699039487,0.579833984375,-37.445068359375,58.10546875,0.00275000000000003,20.050048828125
