,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag,IntrinsicProfile,
67,OLL14.3,17,P14-P18,V1,LHX6,PV,4,-61.24631342,194.7862939,-0.201451984,58.77777778,-41.68701172,57.86132813,0.00105,22.00317383,80,0.769432314,3.704925537,FS,
68,OLL14.4,17,P14-P18,V1,Pyramidal,Pyr,4,-69.85748416,720.0914013,-0.158981713,5,-52.06298828,88.07373047,0.0019,15.68603516,32,1.260614934,0.867614746,RS,
69,OLL15.1,13,P9-P13,V1,Pyramidal,Pyr,23,-65.7163776,704.7578439,0.234508691,15,-40.86303711,79.1015625,0.0023,10.10131836,16,1.136262337,1.340454102,RS,
70,OLL15.2,13,P9-P13,V1,Pyramidal,Pyr,4,-62.45351819,689.0819738,-2.29464271,13.59310345,-35.70556641,48.88916016,0.00385,4.852294922,34,1.39815144,2.05178833,RS,
71,OLL15.3,13,P9-P13,V1,Pyramidal,Pyr,5,-59.06611543,131.5268189,0.530611674,71,-31.70776367,84.07592773,0.0023,-2.746582031,18,2.674418605,5.196868896,Bursting_Ih,
72,OLL15.4,13,P9-P13,V1,Pyramidal,Pyr,5,-63.12172462,262.0333056,0.543021572,21,-43.64013672,79.8034668,0.0023,-1.708984375,22,1.407560849,8.111999512,RS_Ih,X
73,OLL15.5,13,P9-P13,V1,Pyramidal,Pyr,6,-61.65179736,378.883061,0.032558332,71,-42.96875,75.8972168,0.0015,10.52856445,10,1.572897762,3.004425049,RS_Ih_SingleSpike,
74,OLL15.6,13,P9-P13,V1,Pyramidal,Pyr,6,-72.71375538,406.8038604,-0.569923058,11,-25.60424805,52.85644531,0.00195,19.37866211,24,1.282186949,10.1914978,RS_Ih_Stuttering,
75,OLL15.7,13,P9-P13,V1,Pyramidal,Pyr,23,-68.76977462,338.8171085,0.040527414,16.87012987,-37.62817383,74.03564453,0.0021,11.07788086,14,1.487317073,2.787719727,RS,
76,OLL15.8,13,P9-P13,V1,Pyramidal,Pyr,4,-69.31677317,459.7209007,0.112205446,20,-35.70556641,70.22094727,0.00225,14.09912109,14,1.298108284,0.883270264,RS,
77,OLL16.1,18,P14-P18,V1,LHX6,PV,4,-72.04734152,162.6466236,0.691060662,213.6501458,-42.05322266,62.25585938,0.0007,25.93994141,98,0.292297564,1.149841309,FS,
78,OLL16.2,18,P14-P18,V2,LHX6,PV,4,-74.87376794,197.6658851,0.035682442,55.73684211,-37.109375,54.32128906,0.00125,19.95849609,48,0.877873563,2.630462646,FS,
79,OLL16.3,18,P14-P18,V1,Pyramidal,Pyr,4,-82.18158036,288.2176542,0.775725926,11.23809524,-38.17749023,75.56152344,0.0017,17.88330078,40,1.172591743,0.933258057,RS,
80,OLL16.4,18,P14-P18,V1,LHX6,PV,4,-61.83834839,574.8064631,0.236856798,10,-48.18725586,79.19311523,0.00075,23.31542969,58,1.282303371,2.621520996,FS,
81,OLL18.1,7,P5-P8,V1,Pyramidal,Pyr,4,-70.57121989,1098.165024,0.066158815,15,-30.09033203,36.31591797,0.0062,-7.141113281,8,0.002031488,1.583892822,RS,
82,OLL18.2,7,P5-P8,V1,Pyramidal,SST,4,-63.45516052,1068.076782,0.155100339,5,-43.76220703,65.36865234,0.00285,13.48876953,30,1.037614186,0.475799561,NFS,
83,OLL18.3,7,P5-P8,V1,Pyramidal,Pyr,4,-56.49389648,1217.220459,0.12392533,30,-30.9753418,47.79052734,0.0043,6.072998047,8,0.002418301,0.301605225,RS,
84,OLL18.4,7,P5-P8,V1,Pyramidal,Pyr,4,-71.73205261,939.9505615,0.156440116,15,-33.50830078,55.48095703,0.0035,5.218505859,6,0.001047538,0.42855835,RS,
85,OLL18.5,7,P5-P8,V1,Pyramidal,Pyr,23,-66.08594971,1869.599609,0.091961412,6,-38.39111328,54.90112305,0.0039,-0.427246094,12,1.332036316,1.410247803,RS,
86,OLL19.1,6,P5-P8,V1,Pyramidal,Pyr,4,-59.8362915,1505.419922,0.115589466,25,-29.20532227,41.50390625,0.00445,-0.183105469,8,0.004821894,0.222747803,RS,
87,OLL19.10,6,P5-P8,V1,Pyramidal,Pyr,5,-63.05513545,1032.359169,0.132665608,19.61403509,-28.16772461,42.63305664,0.0057,-7.751464844,8,0.001915049,0.350799561,RS,
88,OLL19.2,6,P5-P8,V1,Pyramidal,SPN,6,-51.67755432,1378.600464,0.423409957,10,-36.56005859,59.78393555,0.0045,4.669189453,24,0.692002971,0.275085449,RS,
89,OLL19.3,6,P5-P8,V1,Pyramidal,Pyr,4,-55.63203602,809.2122202,0.032074832,46,-32.83691406,37.3840332,0.00485,0.274658203,4,,0.787017822,RS,
90,OLL19.4,6,P5-P8,V1,Pyramidal,SPN,6,-53.84810181,1295.6604,0.201374791,10,-32.89794922,58.56323242,0.00355,17.21191406,22,1.102022059,1.006835938,RS,
91,OLL19.5,6,P5-P8,V1,Pyramidal,Pyr,4,-56.96854494,1723.342332,0.129203187,52.05882353,-36.74316406,41.015625,0.0022,-40.98510742,4,,0.471405029,RS,
92,OLL19.6,6,P5-P8,V1,Pyramidal,Pyr,5,-59.52463074,1074.431763,0.036377874,15,-33.78295898,66.31469727,0.0042,-2.9296875,28,1.377216312,3.358734131,RS,
93,OLL19.7,6,P5-P8,V1,Pyramidal,Pyr,23,-63.05094641,1950.012184,0.151420378,5,-20.84350586,27.80151367,0.00565,2.136230469,16,1.315175097,0.181732178,RS,
94,OLL19.8,6,P5-P8,V1,Pyramidal,Pyr,23,-44.87574223,2525.147574,0.28160889,3,-29.14428711,42.08374023,0.00545,-3.814697266,12,1.274755927,0.38470459,RS,
95,OLL19.9,6,P5-P8,V1,Pyramidal,Pyr,5,-62.78890228,1230.706714,0.117164051,6,-30.82275391,54.07714844,0.0062,-16.23535156,6,0.001249479,1.604125977,RS,
96,OLL20.1,9,P9-P13,V1,LHX6,PV,4,-76.04028193,951.4976631,0.123303551,7.367647059,-36.68212891,52.4597168,0.0026,22.82714844,36,1.153664303,4.069061279,FS,
97,OLL20.2,9,P9-P13,V1,Pyramidal,Pyr,4,-58.80099691,1076.344031,0.072319615,22.66666667,-34.66796875,51.87988281,0.0032,10.00976563,6,0.004195804,0.613372803,RS,
98,OLL20.3,9,P9-P13,V1,LHX6,PV,4,-60.33878581,943.5786207,0.140195188,13.65594855,-35.88867188,55.08422852,0.0023,18.37158203,34,1.207744875,8.62487793,FS,
99,OLL20.4,9,P9-P13,V1,Pyramidal,Pyr,4,-56.38770724,1016.700066,0.284135605,69.12087912,-34.94262695,50.10986328,0.001,-50.0793457,8,0.003784898,2.5206604,RS,
100,OLL20.5,9,P9-P13,V1,Pyramidal,Pyr,23,-40.07275798,1022.131089,0.039285717,10,-25.20751953,41.07666016,0.00375,6.744384766,6,0.002155116,0.167327881,RS,
101,OLL21.1,11,P9-P13,V1,Pyramidal,Pyr,23,-60.15201009,897.90298,0.034259348,15,-41.2902832,62.92724609,0.00235,6.561279297,22,1.281194454,1.203308105,RS,
102,OLL21.2,11,P9-P13,V1,Pyramidal,Pyr,4,-60.41197022,1004.390143,1.21352478,10,-33.72192383,56.640625,0.00305,10.00976563,18,1.161327231,0.686553955,RS,
103,OLL21.3,11,P9-P13,V1,Pyramidal,Pyr,5,-58.53630392,359.0799225,0.12059825,10,-42.17529297,70.89233398,0.0035,-5.401611328,22,1.324472961,3.797668457,RS_Ih,
104,OLL21.4,11,P9-P13,V1,Pyramidal,Pyr,6,-67.20305173,376.0580111,0.028421569,131,-35.58349609,61.2487793,0.00155,10.31494141,16,1.881500987,5.602478027,RS_Ih_SingleSpike,
105,OLL22.1,11,P9-P13,V1,LHX6,PV,4,-63.89094433,364.1744814,0.054907099,11.71982759,-37.62817383,55.26733398,0.0019,19.47021484,44,1.200978213,0.78338623,FS,
106,OLL22.2,11,P9-P13,V1,Pyramidal,Pyr,4,-57.89191155,938.6949806,0.151236468,14,-36.43798828,60.97412109,0.00225,16.02172852,16,1.252804787,0.81930542,RS,
107,OLL22.3,11,P9-P13,V1,Pyramidal,Pyr,5,-61.34917908,354.3063354,0.080156436,10,-39.67285156,82.45849609,0.00225,5.920410156,26,1.323176661,2.967010498,RS,
108,OLL23.1,8,P5-P8,V1,LHX6,PV,4,-58.442453,2404.500122,0.098313034,8.75,-38.90991211,51.72729492,0.00235,20.08056641,44,1.195729537,3.438140869,FS,
109,OLL23.2,8,P5-P8,V1,Pyramidal,Pyr,4,-55.17438965,1929.086914,0.090190379,15,-37.71972656,57.76977539,0.00305,9.338378906,10,1.253445636,0.663757324,RS,
